City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
522,Harper,LR,76.93,moderate rain,4.38,-7.72,Screensaver
525,Itoman,JP,78.8,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
527,Bonthe,SL,78.1,light rain,7.53,-12.51,Bonthe Holiday Village
534,Fomboni,KM,79.05,light rain,-12.28,43.74,Auberge les abou
538,Gushikawa,JP,78.8,broken clouds,26.35,127.87,Kirari Guest House
540,Bartica,GY,77.0,few clouds,6.4,-58.62,La Vista Hotel and Apartment
541,Bontang,ID,83.66,broken clouds,0.13,117.5,Okra Leaf Guest House Syariah
550,Sao Felix Do Xingu,BR,76.03,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
553,Bolama,GW,82.17,clear sky,11.58,-15.47,Hotel Samaritana
555,Dwarka,IN,79.83,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
563,Celestun,MX,79.14,light rain,20.87,-90.4,Posada Lilia
