City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,San Patricio,US,2020-10-28 03:50:48,28.02,-97.52,55.4,93,90,18.34
174,Sitka,US,2020-10-28 03:50:23,57.05,-135.33,44.6,87,75,5.82
175,Vila Velha,BR,2020-10-28 03:59:05,-20.33,-40.29,77.0,88,75,8.05
176,Kaitangata,NZ,2020-10-28 03:59:05,-46.28,169.85,52.0,81,58,10.0
177,Perivolion,GR,2020-10-28 03:59:06,39.42,20.01,60.8,87,20,2.24
178,Yeppoon,AU,2020-10-28 03:51:09,-23.13,150.73,84.2,54,40,18.34
179,Hamilton,US,2020-10-28 03:46:59,39.18,-84.53,50.0,93,90,5.82
180,Zaysan,KZ,2020-10-28 03:59:06,47.47,84.87,46.99,53,100,8.48
181,Boende,CD,2020-10-28 03:59:07,-0.22,20.87,71.35,98,100,3.6
182,Thompson,CA,2020-10-28 03:51:47,55.74,-97.86,17.6,78,75,5.82
183,Norman Wells,CA,2020-10-28 03:51:03,65.28,-126.83,1.4,91,75,1.54
184,Inhambane,MZ,2020-10-28 03:59:07,-23.86,35.38,73.81,85,3,8.81
185,Kintampo,GH,2020-10-28 03:59:08,8.06,-1.73,72.73,84,20,2.73
186,Porto Novo,BJ,2020-10-28 03:59:08,6.5,2.6,76.89,87,33,3.06
187,Mezhdurechensk,RU,2020-10-28 03:59:08,53.69,88.06,34.92,88,100,8.32
188,Ville-Marie,CA,2020-10-28 03:59:09,47.33,-79.43,28.4,92,90,5.82
189,Zhuhai,CN,2020-10-28 03:49:35,22.28,113.57,80.6,78,20,9.17
190,Owando,CG,2020-10-28 03:59:09,-0.48,15.9,71.53,99,100,1.97
191,Severo-Kurilsk,RU,2020-10-28 03:51:02,50.68,156.12,45.16,78,9,3.51
192,Imbituba,BR,2020-10-28 03:59:10,-28.24,-48.67,68.0,94,40,0.38
193,Griffith,US,2020-10-28 03:58:21,41.53,-87.42,37.99,79,90,5.82
194,Orapa,BW,2020-10-28 03:59:10,-21.28,25.37,72.52,37,15,10.98
195,Ixtapa,MX,2020-10-28 03:59:10,20.7,-105.2,84.2,79,75,1.54
196,Amga,RU,2020-10-28 03:59:11,60.9,131.96,13.69,92,100,3.33
197,Andros Town,BS,2020-10-28 03:59:11,24.7,-77.77,80.6,88,20,6.93
198,Kysyl-Syr,RU,2020-10-28 03:52:47,63.9,122.76,8.94,89,100,3.09
199,Hamadan,IR,2020-10-28 03:59:11,34.8,48.51,33.8,40,0,2.24
200,Namatanai,PG,2020-10-28 03:59:12,-3.67,152.43,87.06,62,28,1.3
201,Marsa Matruh,EG,2020-10-28 03:59:12,31.35,27.25,60.8,87,0,6.46
202,Tondano,ID,2020-10-28 03:59:12,1.3,124.91,84.27,57,90,2.84
203,Ahipara,NZ,2020-10-28 03:51:31,-35.17,173.17,67.96,68,35,2.73
204,Malyye Derbety,RU,2020-10-28 03:59:13,47.95,44.68,39.51,66,88,13.8
205,Nanortalik,GL,2020-10-28 03:50:55,60.14,-45.24,30.58,90,100,4.7
206,De-Kastri,RU,2020-10-28 03:59:13,51.47,140.78,40.03,88,100,6.44
207,Ilulissat,GL,2020-10-28 03:51:29,69.22,-51.1,10.4,72,73,4.7
208,Salalah,OM,2020-10-28 03:50:27,17.02,54.09,73.4,56,20,2.24
209,Sao Felix Do Xingu,BR,2020-10-28 03:59:14,-6.64,-51.99,74.21,86,26,1.1
210,Gotsu,JP,2020-10-28 03:59:14,35.0,132.22,64.4,72,0,5.82
211,Zhezkazgan,KZ,2020-10-28 03:49:27,47.8,67.71,30.13,90,47,14.07
212,Sangar,RU,2020-10-28 03:52:51,63.92,127.47,4.75,93,100,4.41
213,Hit,IQ,2020-10-28 03:59:14,33.64,42.83,68.14,24,0,7.11
214,Ercis,TR,2020-10-28 03:59:15,39.03,43.36,37.4,64,0,3.36
215,Tura,IN,2020-10-28 03:49:36,25.52,90.22,81.59,68,0,2.28
216,Vangaindrano,MG,2020-10-28 03:59:15,-23.35,47.6,73.62,83,17,1.97
217,Banda Aceh,ID,2020-10-28 03:51:57,5.56,95.32,86.54,59,88,14.09
218,Menongue,AO,2020-10-28 03:59:16,-14.66,17.69,69.93,67,76,8.61
219,Virginia Beach,US,2020-10-28 03:56:03,36.85,-75.98,64.99,95,0,4.61
220,Kouango,CF,2020-10-28 03:59:16,4.99,19.96,70.9,94,94,0.85
221,Cherskiy,RU,2020-10-28 03:51:06,68.75,161.3,14.31,92,100,8.81
222,Bay City,US,2020-10-28 03:59:16,43.59,-83.89,36.0,93,40,6.93
223,Rudbar,AF,2020-10-28 03:59:17,30.15,62.6,62.53,28,0,10.69
224,Poum,NC,2020-10-28 03:52:59,-20.23,164.02,77.34,73,100,9.53
225,Hammerfest,NO,2020-10-28 03:49:23,70.66,23.68,33.8,100,84,8.05
226,Phan Thiet,VN,2020-10-28 03:59:17,10.93,108.1,81.54,78,100,18.97
227,Shestakovo,RU,2020-10-28 03:59:17,56.49,103.96,38.19,84,80,3.74
228,Japura,ID,2020-10-28 03:49:51,-0.32,102.35,94.28,50,85,1.97
229,Fujin,CN,2020-10-28 03:59:18,47.26,132.03,46.31,54,0,8.57
230,Vredendal,ZA,2020-10-28 03:59:18,-31.67,18.5,57.97,78,75,3.96
231,Souillac,MU,2020-10-28 03:50:39,-20.52,57.52,75.99,74,4,3.0
232,Jalu,LY,2020-10-28 03:49:25,29.03,21.55,68.07,49,0,9.22
233,Tall Kayf,TR,2020-10-28 03:59:19,37.08,41.07,60.8,29,0,4.29
234,Antofagasta,CL,2020-10-28 03:56:03,-23.65,-70.4,57.2,87,40,8.05
235,Tecoanapa,MX,2020-10-28 03:59:20,16.52,-98.75,80.35,85,85,4.21
236,Hasaki,JP,2020-10-28 03:59:20,35.73,140.83,68.0,56,75,3.36
237,Dingli,MT,2020-10-28 03:59:20,35.86,14.38,62.01,82,20,9.17
238,Bischofswerda,DE,2020-10-28 03:59:20,51.13,14.18,44.01,84,83,10.0
239,Tommot,RU,2020-10-28 03:59:20,58.96,126.29,17.56,91,100,2.59
240,Champerico,GT,2020-10-28 03:59:21,14.3,-91.92,64.99,99,72,8.72
241,Torbay,CA,2020-10-28 03:51:43,47.67,-52.73,39.0,100,90,8.05
242,Boden,SE,2020-10-28 03:59:21,65.83,21.69,37.4,100,100,1.12
243,Palmer,US,2020-10-28 03:51:36,42.16,-72.33,48.0,81,90,4.7
244,Caronport,CA,2020-10-28 03:59:21,50.45,-105.82,44.82,72,73,18.5
245,Arroyo,ES,2020-10-28 03:59:22,41.61,-4.8,51.01,93,90,9.17
246,Roncesvalles,CO,2020-10-28 03:59:22,4.01,-75.6,55.13,91,100,3.65
247,Ponta Do Sol,PT,2020-10-28 03:51:23,32.67,-17.1,66.2,68,75,3.36
248,Baruun-Urt,MN,2020-10-28 03:59:22,46.68,113.28,40.84,55,0,12.82
249,Kudahuvadhoo,MV,2020-10-28 03:59:22,2.67,72.89,83.34,74,76,13.47
250,Klaksvik,FO,2020-10-28 03:59:23,62.23,-6.59,46.4,81,99,11.41
251,Coquimbo,CL,2020-10-28 03:55:11,-29.95,-71.34,53.6,87,0,9.17
252,Xai-Xai,MZ,2020-10-28 03:59:23,-25.05,33.64,71.37,84,74,8.61
253,Murray Bridge,AU,2020-10-28 03:59:23,-35.12,139.27,71.01,58,0,8.21
254,Westport,US,2020-10-28 03:59:23,41.14,-73.36,53.6,58,90,5.82
255,Tessalit,ML,2020-10-28 03:59:24,20.2,1.01,74.21,20,0,6.64
256,Arraial Do Cabo,BR,2020-10-28 03:50:36,-22.97,-42.03,72.66,92,20,19.77
